Link,UniqueClicks,PctUniqClicks,TotalClicks,PctTotal Clicks,NetCTR,EmailNumber,LinkPlacement,Date
https://facebook.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email9,Email9 Link_Number 17,12/04/2019
https://instagram.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email9,Email9 Link_Number 18,12/04/2019
https://twitter.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email9,Email9 Link_Number 19,12/04/2019
https://www.linkedin.com/school/university-of-southern-maine,0,0.00%,0,0.00%,0.00%,Email9,Email9 Link_Number 20,12/04/2019
https://youtube.com/user/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email9,Email9 Link_Number 21,12/04/2019
Totals,956,,1128,,,Email9,Email9 Link_Number 22,12/04/2019
,NA,,NA,,,Email9,Email9 Link_Number 23,12/04/2019
https://usm.maine.edu/apply,133,15.87%,146,15.32%,1.71%,Email10,Email10 Link_Number 1,12/17/2019
https://usm.maine.edu/career-and-employment-hub/major-2-career,111,13.25%,112,11.75%,1.43%,Email10,Email10 Link_Number 2,12/17/2019
https://usm.maine.edu/office-of-admissions/video-job-preparation,109,13.01%,109,11.44%,1.40%,Email10,Email10 Link_Number 3,12/17/2019
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,109,13.01%,109,11.44%,1.40%,Email10,Email10 Link_Number 4,12/17/2019
http://usm.maine.edu,108,12.89%,117,12.28%,1.39%,Email10,Email10 Link_Number 5,12/17/2019
https://usm.maine.edu/career-and-employment-hub/overview,105,12.53%,105,11.02%,1.35%,Email10,Email10 Link_Number 6,12/17/2019
https://twitter.com/USouthernMaine,39,4.65%,73,7.66%,0.50%,Email10,Email10 Link_Number 7,12/17/2019
https://usm.maine.edu/visit#virtualtour,38,4.54%,39,4.09%,0.49%,Email10,Email10 Link_Number 8,12/17/2019
https://www.facebook.com/USouthernMaine,37,4.42%,37,3.88%,0.48%,Email10,Email10 Link_Number 9,12/17/2019
https://www.instagram.com/USouthernMaine,35,4.18%,70,7.35%,0.45%,Email10,Email10 Link_Number 10,12/17/2019
Unsubscribe,12,1.43%,34,3.57%,0.15%,Email10,Email10 Link_Number 11,12/17/2019
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=febb1375726c0c7c&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,1,0.12%,1,0.11%,0.01%,Email10,Email10 Link_Number 12,12/17/2019
http://view.e-usm.maine.edu/?j=febb1375726c0c7c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,1,0.12%,1,0.11%,0.01%,Email10,Email10 Link_Number 13,12/17/2019
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=febb1375726c0c7c&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 14,12/17/2019
http://usm.maine.edu/high-school-students,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 15,12/17/2019
http://view.e-usm.maine.edu/ftaf.aspx?j=febb1375726c0c7c&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 16,12/17/2019
https://facebook.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 17,12/17/2019
https://instagram.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 18,12/17/2019
https://twitter.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 19,12/17/2019
https://usm.maine.edu/high-school-students,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 20,12/17/2019
https://www.linkedin.com/school/university-of-southern-maine,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 21,12/17/2019
https://www.youtube.com/user/USouthernMaine,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 22,12/17/2019
https://youtube.com/user/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email10,Email10 Link_Number 23,12/17/2019
Totals,838,,953,,,Email10,Email10 Link_Number 24,12/17/2019
,NA,,NA,,,Email10,Email10 Link_Number 25,12/17/2019
https://usm.maine.edu/apply,113,15.42%,130,15.17%,1.49%,Email11,Email11 Link_Number 1,01/08/2020
https://usm.maine.edu/office-of-admissions/video-environmental-sciences,98,13.37%,99,11.55%,1.29%,Email11,Email11 Link_Number 2,01/08/2020
https://usm.maine.edu/career-and-employment-hub,96,13.10%,110,12.84%,1.27%,Email11,Email11 Link_Number 3,01/08/2020
http://usm.maine.edu,96,13.10%,103,12.02%,1.27%,Email11,Email11 Link_Number 4,01/08/2020
https://usm.maine.edu/career-and-employment-hub/overview,96,13.10%,97,11.32%,1.27%,Email11,Email11 Link_Number 5,01/08/2020
https://usm.maine.edu/student-financial-services/fafsa-process-and-deadline,96,13.10%,97,11.32%,1.27%,Email11,Email11 Link_Number 6,01/08/2020
https://usm.maine.edu/visit#virtualtour,27,3.68%,31,3.62%,0.36%,Email11,Email11 Link_Number 7,01/08/2020
https://www.instagram.com/USouthernMaine,24,3.27%,49,5.72%,0.32%,Email11,Email11 Link_Number 8,01/08/2020
https://twitter.com/USouthernMaine,24,3.27%,47,5.48%,0.32%,Email11,Email11 Link_Number 9,01/08/2020
https://www.youtube.com/user/USouthernMaine,24,3.27%,26,3.03%,0.32%,Email11,Email11 Link_Number 10,01/08/2020
https://www.facebook.com/USouthernMaine,24,3.27%,25,2.92%,0.32%,Email11,Email11 Link_Number 11,01/08/2020
Unsubscribe,15,2.05%,43,5.02%,0.20%,Email11,Email11 Link_Number 12,01/08/2020
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=feba13787d620079&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 13,01/08/2020
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=feba13787d620079&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 14,01/08/2020
http://usm.maine.edu/high-school-students,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 15,01/08/2020
http://view.e-usm.maine.edu/?j=feba13787d620079&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 16,01/08/2020
http://view.e-usm.maine.edu/ftaf.aspx?j=feba13787d620079&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 17,01/08/2020
https://facebook.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 18,01/08/2020
https://instagram.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 19,01/08/2020
https://twitter.com/usouthernmaine,0,0.00%,0,0.00%,0.00%,Email11,Email11 Link_Number 20,01/08/2020
