Link,Total,Unique,Net CTRs,Email Name
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=febd1072706d0275&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://youtube.com/user/USouthernMaine,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://www.linkedin.com/school/university-of-southern-maine/,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://usm.maine.edu/undergraduate,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
http://view.e-usm.maine.edu/?j=febd1072706d0275&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
http://view.e-usm.maine.edu/ftaf.aspx?j=febd1072706d0275&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=febd1072706d0275&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://twitter.com/USouthernMaine,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://usm.maine.edu/office-of-admissions/video-samantha-watson-experience,13,11,0.007,FY19 Adult App Gen - Email 09 (Samantha Watson)
https://usm.maine.edu/apply,6,6,0.004,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://usm.maine.edu/apply,3,3,0.002,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://usm.maine.edu,4,2,0.001,FY19 Adult App Gen - Email 09 (Samantha Watson)
Unsubscribe,6,2,0.001,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://facebook.com/USouthernMaine,1,1,0.001,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://twitter.com/USouthernMaine,2,1,0.001,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://instagram.com/USouthernMaine,2,1,0.001,FY19 Adult App Gen - Email 09 (Samantha Watson)
https://facebook.com/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
https://twitter.com/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
https://instagram.com/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
https://youtube.com/user/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=fec710767665007b&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://youtube.com/user/USouthernMaine,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
https://www.linkedin.com/school/university-of-southern-maine/,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
https://usm.maine.edu/undergraduate,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://view.e-usm.maine.edu/?j=fec710767665007b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://view.e-usm.maine.edu/ftaf.aspx?j=fec710767665007b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=fec710767665007b&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY19 Adult App Gen - Email 09 (Samantha Watson)
